学号,姓名,语文,数学,英语,物理,化学,生物
20240001,学生1,59,81,54,65,43,85
20240002,学生2,81,67,78,45,77,96
20240003,学生3,68,89,70,85,93,94
20240004,学生4,76,49,97,78,46,91
20240005,学生5,43,57,88,90,52,47
20240006,学生6,58,87,47,98,50,48
20240007,学生7,40,98,61,54,87,52
20240008,学生8,79,76,59,57,74,57
20240009,学生9,81,72,81,79,64,73
20240010,学生10,78,90,74,87,77,43
20240011,学生11,85,47,69,56,92,82
20240012,学生12,97,61,86,44,48,67
20240013,学生13,77,84,49,65,40,88
20240014,学生14,71,46,43,79,64,85
20240015,学生15,66,91,55,84,84,86
20240016,学生16,50,60,75,83,63,64
20240017,学生17,57,54,79,89,66,93
20240018,学生18,68,100,63,63,53,90
20240019,学生19,66,75,83,59,44,56
20240020,学生20,41,79,84,66,47,45
20240021,学生21,95,90,66,93,71,63
20240022,学生22,59,54,98,53,59,84
20240023,学生23,72,55,78,88,57,80
20240024,学生24,50,60,86,52,59,100
20240025,学生25,97,83,66,62,73,65
20240026,学生26,63,40,62,45,90,100
20240027,学生27,63,65,84,91,65,98
20240028,学生28,52,63,75,79,66,51
20240029,学生29,85,65,69,46,69,49
20240030,学生30,59,66,75,48,84,68
20240031,学生31,91,88,60,74,61,47
20240032,学生32,64,66,41,47,48,59
20240033,学生33,44,57,51,82,54,90
20240034,学生34,100,69,94,85,62,40
20240035,学生35,60,50,65,56,42,75
20240036,学生36,50,44,95,77,60,74
20240037,学生37,45,68,65,45,74,55
20240038,学生38,94,59,70,57,56,87
20240039,学生39,80,72,47,100,67,53
20240040,学生40,48,77,78,82,72,61
20240041,学生41,98,79,45,73,94,46
20240042,学生42,95,43,88,58,82,52
20240043,学生43,68,73,94,68,46,85
20240044,学生44,95,60,60,54,70,86
20240045,学生45,40,58,73,41,45,85
20240046,学生46,100,70,93,87,79,72
20240047,学生47,85,79,83,52,57,84
20240048,学生48,100,63,88,58,70,59
20240049,学生49,42,53,50,88,86,76
20240050,学生50,79,99,69,88,86,58
20240051,学生51,99,80,51,62,73,93
